relative_path,format,original_width,original_height,crop_top,crop_bottom,crop_left,crop_right,inner_left,inner_top,inner_right,inner_bottom,corner_shadow_candidate,status
commands/feishu/images/getlarkbitableviewcommand-03.png,PNG,966,234,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkbitableviewcommand-04.png,PNG,647,455,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkspreadsheetcommand-01.png,PNG,651,411,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkspreadsheetcommand-02.png,PNG,822,153,0,0,0,0,,,,,no,unchanged
commands/feishu/images/getlarkspreadsheetcommand-03.png,PNG,645,408,0,0,0,0,,,,,no,unchanged
commands/feishu/images/IgnCWQ-01.png,PNG,642,496,0,0,0,0,,,,,no,unchanged
commands/feishu/images/IgnCWQ-02.png,PNG,616,137,0,0,0,0,,,,,no,unchanged
commands/feishu/images/IgnCWQ-03.png,PNG,645,516,0,0,0,0,,,,,no,unchanged
commands/feishu/images/IgnCWQ-04.png,PNG,428,83,0,0,0,0,,,,,no,unchanged
commands/feishu/images/IgnCWQ-05.png,PNG,1343,175,0,0,0,0,,,,,no,unchanged
commands/feishu/images/querylarkbitablerecordcommand-01.png,PNG,645,696,0,0,0,0,,,,,no,unchanged
commands/feishu/images/querylarkbitablerecordcommand-02.png,PNG,1079,238,0,0,0,0,,,,,no,unchanged
commands/feishu/images/querylarkbitablerecordcommand-03.png,PNG,1074,159,0,0,0,0,,,,,no,unchanged
commands/feishu/images/querylarkbitablerecordcommand-04.png,PNG,1074,289,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/readlarkspreadsheetcommand-01.png,PNG,647,525,0,0,0,0,,,,,no,unchanged
commands/feishu/images/readlarkspreadsheetcommand-02.png,PNG,646,341,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/readlarkspreadsheetcommand-03.png,PNG,1144,717,0,0,0,0,,,,,no,unchanged
commands/feishu/images/readlarkspreadsheetcommand-04.png,PNG,518,190,0,0,0,0,48,4,463,185,yes,inner_frame_candidate
commands/feishu/images/readlarkspreadsheetcommand-05.png,PNG,1361,259,0,0,0,0,,,,,no,unchanged
commands/feishu/images/renamelarkbitabledatatablecommand-01.png,PNG,955,303,0,0,0,0,,,,,no,unchanged
commands/feishu/images/renamelarkbitabledatatablecommand-02.png,PNG,970,268,0,0,0,0,,,,,no,unchanged
commands/feishu/images/renamelarkbitabledatatablecommand-03.png,PNG,651,412,0,0,0,0,,,,,no,unchanged
commands/feishu/images/updatelarkbitablefieldcommand-01.png,PNG,650,629,0,0,0,0,,,,,no,unchanged
commands/feishu/images/updatelarkbitablefieldcommand-02.png,PNG,959,391,0,0,0,0,,,,,no,unchanged
commands/feishu/images/updatelarkbitablefieldcommand-03.png,PNG,962,181,0,0,0,0,,,,,no,unchanged
commands/feishu/images/updatelarkbitablefieldcommand-04.png,PNG,1072,76,0,0,0,0,,,,,no,unchanged
commands/feishu/images/updatelarkbitablefieldcommand-05.png,PNG,1062,81,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/updatelarkbitablerecordcommand-01.png,PNG,658,517,0,0,0,0,,,,,no,unchanged
commands/feishu/images/updatelarkbitablerecordcommand-02.png,PNG,1000,200,0,0,0,0,,,,,no,unchanged
commands/feishu/images/updatelarkbitablerecordcommand-03.png,PNG,973,127,0,0,0,0,,,,,no,unchanged
commands/feishu/images/updatelarkbitablerecordcommand-04.png,PNG,1124,148,0,0,0,0,,,,,no,unchanged
commands/feishu/images/updatelarkbitablerecordcommand-05.png,PNG,1126,173,0,0,0,0,,,,,no,unchanged
commands/feishu/images/updatelarkbitableviewcommand-01.png,PNG,1059,237,0,0,0,0,,,,,no,unchanged
commands/feishu/images/updatelarkbitableviewcommand-02.png,PNG,651,522,0,0,0,0,,,,,no,unchanged
commands/feishu/images/updatelarkbitableviewcommand-03.png,PNG,939,260,0,0,0,0,,,,,no,unchanged
commands/feishu/images/writecolumntolarkspreadsheetcommand-01.png,PNG,227,99,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/writecolumntolarkspreadsheetcommand-02.png,PNG,845,208,0,0,0,0,,,,,no,unchanged
commands/feishu/images/writecolumntolarkspreadsheetcommand-03.png,PNG,851,192,0,0,0,0,,,,,no,unchanged
commands/feishu/images/writecolumntolarkspreadsheetcommand-04.png,PNG,648,405,0,0,0,0,,,,,no,unchanged
commands/feishu/images/writecolumntolarkspreadsheetcommand-05.png,PNG,345,118,0,0,0,0,,,,,no,unchanged
commands/feishu/images/writerowtolarkspreadsheetcommand-01.png,PNG,848,197,0,0,0,0,,,,,no,unchanged
commands/feishu/images/writerowtolarkspreadsheetcommand-02.png,PNG,648,405,0,0,0,0,,,,,no,unchanged
commands/feishu/images/writerowtolarkspreadsheetcommand-03.png,PNG,840,184,0,0,0,0,,,,,no,unchanged
commands/feishu/images/writerowtolarkspreadsheetcommand-04.png,PNG,227,99,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/feishu/images/writerowtolarkspreadsheetcommand-05.png,PNG,228,133,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/flow/images/exit-flow-01.png,PNG,647,240,0,0,0,0,,,,,no,unchanged
commands/flow/images/exit-flow-02.png,PNG,958,108,0,0,0,0,,,,,no,unchanged
commands/flow/images/exit-flow-03.png,PNG,947,169,0,0,0,0,,,,,no,unchanged
commands/flow/images/exit-sub-01.png,PNG,640,238,0,0,0,0,,,,,no,unchanged
commands/flow/images/exit-sub-02.png,PNG,926,703,0,0,0,0,,,,,no,unchanged
commands/flow/images/exit-sub-03.png,PNG,1120,670,0,0,0,0,,,,,no,unchanged
commands/flow/images/invoke-01.png,PNG,660,270,0,0,0,0,,,,,no,unchanged
commands/flow/images/invoke-02.png,PNG,855,154,0,0,0,0,,,,,no,unchanged
commands/flow/images/invoke-03.png,PNG,1500,639,0,0,0,0,,,,,no,unchanged
commands/google/images/addcolumntogooglespreadsheetcommand-01.png,PNG,648,415,0,0,0,0,,,,,no,unchanged
commands/google/images/addcolumntogooglespreadsheetcommand-02.png,PNG,1055,223,0,0,0,0,,,,,no,unchanged
commands/google/images/addcolumntogooglespreadsheetcommand-03.png,PNG,855,324,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/google/images/addcolumntogooglespreadsheetcommand-04.png,PNG,1054,195,0,0,0,0,,,,,no,unchanged
commands/google/images/addrowtogooglespreadsheetcommand-01.png,PNG,643,417,0,0,0,0,,,,,no,unchanged
commands/google/images/addrowtogooglespreadsheetcommand-02.png,PNG,1064,200,0,0,0,0,,,,,no,unchanged
commands/google/images/addrowtogooglespreadsheetcommand-03.png,PNG,752,297,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/google/images/addrowtogooglespreadsheetcommand-04.png,PNG,1059,212,0,0,0,0,,,,,no,unchanged
commands/google/images/deletecolumnfromgooglespreadsheetcommand-01.png,PNG,1060,207,0,0,0,0,,,,,no,unchanged
commands/google/images/deletecolumnfromgooglespreadsheetcommand-02.png,PNG,647,299,0,0,0,0,,,,,no,unchanged
commands/google/images/deletecolumnfromgooglespreadsheetcommand-03.png,PNG,1057,227,0,0,0,0,,,,,no,unchanged
commands/google/images/deleterowfromgooglespreadsheetcommand-01.png,PNG,648,299,0,0,0,0,,,,,no,unchanged
commands/google/images/deleterowfromgooglespreadsheetcommand-02.png,PNG,1058,198,0,0,0,0,,,,,no,unchanged
commands/google/images/deleterowfromgooglespreadsheetcommand-03.png,PNG,842,186,0,0,0,0,,,,,no,unchanged
commands/google/images/deleterowfromgooglespreadsheetcommand-04.png,PNG,1057,218,0,0,0,0,,,,,no,unchanged
commands/google/images/findgooglespreadsheetcellcommand-01.png,PNG,1063,204,0,0,0,0,,,,,no,unchanged
commands/google/images/findgooglespreadsheetcellcommand-02.png,PNG,652,273,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/google/images/findgooglespreadsheetcellcommand-03.png,PNG,647,521,0,0,0,0,,,,,no,unchanged
commands/google/images/findgooglespreadsheetcellcommand-04.png,PNG,1054,218,0,0,0,0,,,,,no,unchanged
commands/google/images/findgooglespreadsheetcellcommand-05.png,PNG,1071,336,0,0,0,0,,,,,no,unchanged
commands/google/images/getgooglecredentialcommand-01.png,PNG,648,402,0,0,0,0,,,,,no,unchanged
commands/google/images/getgooglecredentialcommand-02.png,PNG,1201,115,0,0,0,0,,,,,no,unchanged
commands/google/images/getgooglecredentialcommand-03.png,PNG,1186,165,0,0,0,0,,,,,no,unchanged
commands/google/images/getgooglespreadsheetcommand-01.png,PNG,1063,187,0,0,0,0,,,,,no,unchanged
commands/google/images/getgooglespreadsheetcommand-02.png,PNG,1062,210,0,0,0,0,,,,,no,unchanged
commands/google/images/getgooglespreadsheetcommand-03.png,PNG,648,458,0,0,0,0,,,,,no,unchanged
commands/google/images/getgooglespreadsheetcommand-04.png,PNG,1180,972,0,0,0,0,48,5,1154,933,yes,inner_frame_candidate
commands/google/images/readgooglespreadsheetcommand-01.png,PNG,1057,338,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/google/images/readgooglespreadsheetcommand-02.png,PNG,1061,193,0,0,0,0,,,,,no,unchanged
commands/google/images/readgooglespreadsheetcommand-03.png,PNG,1053,214,0,0,0,0,,,,,no,unchanged
commands/google/images/readgooglespreadsheetcommand-04.png,PNG,643,510,0,0,0,0,,,,,no,unchanged
commands/google/images/writecolumntogooglespreadsheetcommand-01.png,PNG,1052,184,0,0,0,0,,,,,no,unchanged
commands/google/images/writecolumntogooglespreadsheetcommand-03.png,PNG,899,290,0,0,0,0,,,,,no,unchanged
commands/google/images/writecolumntogooglespreadsheetcommand-04.png,PNG,1054,213,0,0,0,0,,,,,no,unchanged
commands/google/images/writecolumntogooglespreadsheetcommand-10.jpg,JPEG,642,434,0,0,0,0,,,,,no,unchanged
commands/google/images/writerowtogooglespreadsheetcommand-02.png,PNG,1048,219,0,0,0,0,,,,,no,unchanged
commands/google/images/writerowtogooglespreadsheetcommand-03.png,PNG,1067,196,0,0,0,0,,,,,no,unchanged
commands/google/images/writerowtogooglespreadsheetcommand-04.png,PNG,955,320,0,0,0,0,,,,,yes,corner_shadow_candidate
commands/google/images/writerowtogooglespreadsheetcommand-10.jpg,JPEG,640,432,0,0,0,0,,,,,no,unchanged
